Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
3-Hump Lacooda,Effect Monster,EARTH,Beast,500,1500,"If there are 3 face-up 3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards."""
Achacha Archer,Effect Monster,FIRE,Warrior,1200,600,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.
Achacha Chanbara,Effect Monster,FIRE,Warrior,1400,400,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent."
Adhesive Explosive,Effect Monster,WIND,Machine,1000,1000,"If your opponent's monster attacks this face-down Defense Position card, this card becomes an Equip Card equipped to the attacking monster, without applying damage calculation. Destroy the equipped monster during the Standby Phase of your opponent's next turn."
Airorca,Effect Monster,WIND,Sea Serpent,1400,300,"Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua-Type monster from your hand to target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase."
"Alich, Malebranche of the Burning Abyss",Effect Monster,DARK,Fiend,1200,0,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Alich, Malebranche of the Burning Abyss"" per turn, and only once that turn."
,,,,,,If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
,,,,,,If this card is sent to the Graveyard: You can target 1 face-up monster on the field; negate its effects until the end of this turn.
Alien Dog,Effect Monster,LIGHT,Reptile,1500,1000,"When you Normal Summon an ""Alien"" monster, you can Special Summon this card from your hand. When you do, place 2 A-Counters on face-up monster(s) your opponent controls."
Alien Mars,Effect Monster,FIRE,Reptile,1000,1000,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars""."
Allure Queen LV3,Effect Monster,DARK,Spellcaster,500,500,"Once per turn, during your Main Phase, you can select 1 Level 3 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV5"" from your hand or Deck."
Ally of Justice Core Destroyer,Effect Monster,DARK,Machine,1200,200,"If this card attacks or is attacked by a LIGHT monster, destroy that monster at the start of the Damage Step (without damage calculation)."
Ally of Justice Searcher,Effect Monster,DARK,Machine,1400,100,"Once per turn, you can discard 1 card to flip 1 face-down Defense Position monster your opponent controls to face-up Attack Position. Flip Effects are not activated at that time."
Ally of Justice Unknown Crusher,Effect Monster,DARK,Machine,1200,800,"When this card battles a LIGHT monster, remove that monster from play after damage calculation."
Alpha The Electromagnet Warrior,Effect Monster,EARTH,Rock,1700,1100,"If this card is Normal or Special Summoned: You can add 1 Level 8 ""Magna Warrior"" monster from your Deck to your hand. You can only use this effect of ""Alpha The Electromagnet Warrior"" once per turn. During your opponent's turn: You can Tribute this card; Special Summon 1 Level 4 ""Magnet Warrior"" monster from your Deck (this is a Quick Effect)."
Altergeist Multifaker,Effect Monster,DARK,Spellcaster,1200,800,"If you activate a Trap Card (except during the Damage Step): You can Special Summon this card from your hand. If this card is Special Summoned: You can Special Summon 1 ""Altergeist"" monster from your Deck in Defense Position, except ""Altergeist Multifaker"". You cannot Special Summon monsters the turn you activate this effect, except ""Altergeist"" monsters. You can only use each effect of ""Altergeist Multifaker"" once per turn."
Amazoness Blowpiper,Effect Monster,EARTH,Warrior,800,1500,Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.
Amazoness Princess,Effect Monster,EARTH,Warrior,1200,900,"This card's name becomes ""Amazoness Queen"" while on the field or in the GY. If this card is Normal or Special Summoned: You can add 1 ""Amazoness"" Spell/Trap from your Deck to your hand. You can only use this effect of ""Amazoness Princess"" once per turn. When this card declares an attack: You can send 1 other card from your hand or field to the GY; Special Summon 1 ""Amazoness"" monster from your Deck in Defense Position, except ""Amazoness Princess""."
Amazoness Spy,Effect Monster,EARTH,Warrior,800,1200,"You can reveal 1 other ""Amazoness"" monster in your hand; Special Summon this card from your hand. You can only use this effect of ""Amazoness Spy"" once per turn. When this card is destroyed by battle and sent to the GY: You can target 1 ""Amazoness"" monster in your GY, except ""Amazoness Spy""; return it to the hand, or shuffle it into the Deck."
Ambulanceroid,Effect Monster,EARTH,Machine,300,1200,"When a ""roid"" monster is added from your Graveyard to your hand, you can Special Summon that monster."
Amores of Prophecy,Effect Monster,EARTH,Spellcaster,600,2000,"Once per turn: You can reveal 1 ""Spellbook"" Spell Card in your hand; Special Summon 1 Level 4 or lower Spellcaster-Type monster from your hand."
