Card Name,Type,Attribute   ,Sub Type    ,ATK    ,DEF    ,Card Text
Ancient Gear Reactor Dragon,Effect Monster,EARTH,Machine,3000,3000,"If this card that was Tribute Summoned by Tributing an ""Ancient Gear"" monster attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this card was Tribute Summoned by Tributing a ""Gadget"" monster, it can make a second attack during each Battle Phase. If this card attacks, your opponent's Spell/Trap Cards and monster effects cannot be activated until the end of the Damage Step. At the end of the Damage Step, if this card attacked: You can destroy 1 Spell/Trap Card on the field."
Annihilator Archfiend,Effect Monster,DARK,Fiend,2000,3000,"You can target 1 card you control and 1 card your opponent controls; destroy them, and if you destroyed a face-up Fiend monster(s) by this effect, this card gains ATK equal to half the Fiend monster(s)'s original ATK, until the end of this turn. You can only use this effect of ""Annihilator Archfiend"" once per turn."
Apoqliphort Skybase,Effect Monster,EARTH,Machine,2900,2500,"Cannot be Special Summoned. Requires 3 ""Qli"" Tributes to Normal Summon/Set. If this card is Normal Summoned/Set, it is unaffected by Spell/Trap effects and by activated effects from any monster whose original Level/Rank is lower than this card's current Level. Once per turn: You can target 1 monster your opponent controls; take control of it until the End Phase."
Arcanite Magician/Assault Mode,Effect Monster,LIGHT,Spellcaster,900,2300,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Assault Mode Activate"". When this card is Special Summoned, place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. You can remove 2 Spell Counters from this card to destroy all cards your opponent controls. When this card on the field is destroyed, you can Special Summon 1 ""Arcanite Magician"" from your Graveyard."
Arcjet Lightcraft,Effect Monster,LIGHT,Machine,0,2100,"If you control no monsters, you can Normal Summon this card without Tributing. If this card is Normal or Special Summoned: You can target 1 Level 8 or lower Machine monster in your GY; Special Summon it in Defense Position, and if you do, its Level becomes 9, also negate its effects. You can only use this effect of ""Arcjet Lightcraft"" once per turn. You cannot Special Summon monsters from the Extra Deck, except Machine Xyz Monsters."
B.E.S. Blaster Cannon Core,Effect Monster,EARTH,Machine,2500,3000,"If your opponent controls more monsters than you do, you can Special Summon this card (from your hand). You can only Special Summon ""B.E.S. Blaster Cannon Core"" once per turn this way. If this card is Normal or Special Summoned: Place 3 counters on this card. Cannot be destroyed by battle. At the end of the Damage Step, if this card battled: Remove 1 counter from this card. If you cannot, destroy it."
Big Whale,Effect Monster,WATER,Fish,1000,3000,When this card is Tribute Summoned: You can Tribute this card; Special Summon 3 Level 3 WATER monsters from your Deck. Their effects are negated.
Dark Sage,Effect Monster,DARK,Spellcaster,2800,3200,"Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand or Deck) by Tributing 1 ""Dark Magician"" immediately after applying the effect of ""Time Wizard"" in which you called the coin toss right. When Special Summoned this way: Add 1 Spell Card from your Deck to your hand."
Darklord Tezcatlipoca,Effect Monster,DARK,Fairy,2800,2100,"If a ""Darklord"" monster(s) you control would be destroyed by battle or card effect, you can discard this card instead. During either player's turn: You can pay 1000 LP, then target 1 ""Darklord"" Spell/Trap Card in your Graveyard; apply that target's effect, then shuffle that target into the Deck. You can only use this effect of ""Darklord Tezcatlipoca"" once per turn. You can only Special Summon ""Darklord Tezcatlipoca(s)"" once per turn."
Deep-Space Cruiser IX,Effect Monster,LIGHT,Machine,900,900,You can Special Summon this card (from your hand) by sending 1 other Machine-Type monster from your hand to the Graveyard.
Deskbot 009,Effect Monster,EARTH,Machine,500,500,"Once per turn, during your Main Phase 1: You can make this card gain ATK equal to the combined ATK of all ""Deskbot"" monsters you currently control, except ""Deskbot 009"", until the end of your opponent's turn. Only this card can attack the turn this effect is activated. If this card battles, your opponent's cards and effects cannot be activated until the end of the Damage Step. If this card would be destroyed by battle or card effect, you can destroy 1 ""Deskbot"" card you control instead."
"Dovelgus, Generaider Boss of Iron",Effect Monster,EARTH,Machine,1500,2500,"You can only control 1 ""Dovelgus, Generaider Boss of Iron"". (Quick Effect): You can Tribute any number of ""Generaider"" monsters and/or Machine monsters; Special Summon, from your hand, in Defense Position, exactly that many ""Generaider"" monsters and/or Machine monsters, all with different names from each other and from the Tributed monsters. You can only use this effect of ""Dovelgus, Generaider Boss of Iron"" once per turn."
Elemental Grace Doriado,Effect Monster,LIGHT,Spellcaster,0,0,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having 6 or more monsters with different Attributes in the GYs. Gains ATK/DEF equal to the number of different Attributes in the GYs x 500. When your opponent would Special Summon a monster(s) (Quick Effect): You can banish 3 monsters from your GY; negate the Summon, and if you do, destroy that monster(s)."
Emperor Maju Garzett,Effect Monster,DARK,Fiend,0,0,Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 3 monsters. This card's ATK becomes the combined original ATK of the Tributed monsters. Your opponent cannot activate cards or effects during the Battle Phase.
"Frodi, Generaider Boss of Swords",Effect Monster,WIND,Warrior,2500,2000,"You can only control 1 ""Frodi, Generaider Boss of Swords"". (Quick Effect): You can Tribute any number of ""Generaider"" monsters and/or Warrior monsters, then target that many monsters on the field; destroy them, then your opponent can draw cards equal to the number of monsters destroyed on their field. You can only use this effect of ""Frodi, Generaider Boss of Swords"" once per turn."
"Gizmek Kaku, the Supreme Shining Sky Stag",Effect Monster,FIRE,Machine,2750,2750,"If a monster is in the Extra Monster Zone: You can Special Summon this card from your hand. You can target 1 face-up monster in the Extra Monster Zone; equip that face-up monster to this card (max. 1). When this card destroys an opponent's monster by battle: You can Special Summon 1 of your Monster Cards equipped to this card. You can only use each effect of ""Gizmek Kaku, the Supreme Shining Sky Stag"" once per turn."
"Hela, Generaider Boss of Doom",Effect Monster,DARK,Zombie,800,2800,"You can only control 1 ""Hela, Generaider Boss of Doom"". (Quick Effect): You can Tribute 1 ""Generaider"" monster or 1 Zombie monster, then target 1 ""Generaider"" monster or 1 Zombie monster in your GY, with a different name than the Tributed monster had on the field; Special Summon that monster in Defense Position. You can only use this effect of ""Hela, Generaider Boss of Doom"" once per turn."
Infernal Flame Emperor,Effect Monster,FIRE,Pyro,2700,1600,"This card cannot be Special Summoned. When this card is Tribute Summoned successfully, you can remove from play up to 5 FIRE monsters in your Graveyard. Destroy a number of Spell or Trap Cards on the field equal to the number of cards that you remove from play by this effect."
Infernoid Devyaty,Effect Monster,FIRE,Fiend,2900,2900,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or Graveyard) by banishing 3 ""Infernoid"" monsters from your hand or Graveyard while the total Levels and Ranks of all Effect Monsters you control are 8 or lower, and cannot be Special Summoned by other ways. When this card is Special Summoned: You can destroy all Spell and Trap Cards on the field, except ""Void"" cards. Once per turn, during either player's turn, when another monster's effect is activated: You can Tribute 1 monster; negate the activation, and if you do, banish it."
Jurrac Titano,Effect Monster,FIRE,Dinosaur,3000,2800,"This card cannot be Special Summoned. While face-up on the field, this card cannot be targeted by the effects of Traps or Effect Monsters. Once per turn, you can remove from play 1 ""Jurrac"" monster with 1700 or less ATK from your Graveyard to have this card gain 1000 ATK until the End Phase."
Knightmare Incarnation Idlee,Effect Monster,DARK,Fairy,2100,2100,"Level 9 monsters you control cannot be destroyed by card effects. You can only use each of the following effects of ""Knightmare Incarnation Idlee"" once per turn."
,,,,,,If the total Link Rating of the monsters on the field is 8 or more (Quick Effect): You can Special Summon this card from your hand.
,,,,,,"If this card is Special Summoned, while your opponent controls more Link Monsters than you do: You can send all Link Monsters on the field to the GY."
Kozmo Dark Eclipser,Effect Monster,DARK,Machine,3000,2600,"Cannot be targeted by an opponent's card effects. During either player's turn, when a Trap Card is activated: You can banish 1 ""Kozmo"" monster from your Graveyard; negate the activation, and if you do, destroy that card. If this card is destroyed by battle or card effect and sent to the Graveyard: You can banish this card from your Graveyard; add 1 Level 8 or lower ""Kozmo"" monster from your Deck to your hand."
"Mardel, Generaider Boss of Light",Effect Monster,LIGHT,Plant,2400,2400,"You can only control 1 ""Mardel, Generaider Boss of Light"". If this card is Normal or Special Summoned: You can add 1 ""Generaider"" card or 1 Plant monster from your Deck to your hand, except ""Mardel, Generaider Boss of Light"". You can only use this effect of ""Mardel, Generaider Boss of Light"" once per turn."
"Mariamne, the True Dracophoenix",Effect Monster,WIND,Wyrm,2700,2100,"If this card is in your hand: You can destroy 2 other monsters in your hand and/or face-up on your field, including a WIND monster, and if you do, Special Summon this card, and if you do that, and both destroyed monsters were WIND, you can also banish exactly 4 cards from the top of your opponent's Deck. If this card is destroyed by card effect: You can add 1 non-WIND Wyrm-Type monster from your Deck to your hand. You can only use each effect of ""Mariamne, the True Dracophoenix"" once per turn."
"Metaltron XII, the True Dracombatant",Effect Monster,LIGHT,Wyrm,3000,3000,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). To Tribute Summon this card face-up, you can Tribute Continuous Spell/Trap Card(s) you control, as well as monsters. Unaffected by the effects of cards with the same card type (Monster, Spell, and/or Trap) as the original card type of the cards Tributed for its Tribute Summon. If this Tribute Summoned monster in its owner's control is destroyed by an opponent's card (by battle or card effect): You can Special Summon 1 Fusion, Synchro, or Xyz Monster that is EARTH, WATER, FIRE, or WIND from your Extra Deck."
Moisture Creature,Effect Monster,LIGHT,Fairy,2800,2900,"If you Tribute Summon this monster by Tributing 3 monsters on the field, destroy all Spell and Trap Cards on your opponent's side of the field."
"Naglfar, Generaider Boss of Fire",Effect Monster,FIRE,Beast-Warrior,3100,200,"You can only control 1 ""Naglfar, Generaider Boss of Fire"". If a card(s) you control would be destroyed by battle or card effect, you can destroy 1 ""Generaider"" monster or 1 Beast-Warrior monster you control instead. You can only use this effect of ""Naglfar, Generaider Boss of Fire"" once per turn."
"Nidhogg, Generaider Boss of Ice",Effect Monster,WATER,Wyrm,2100,2600,"You can only control 1 ""Nidhogg, Generaider Boss of Ice"". When your opponent would Special Summon a monster(s) (Quick Effect): You can Tribute 1 ""Generaider"" monster or 1 Wyrm monster; negate the Summon, and if you do, destroy that monster(s). You can only use this effect of ""Nidhogg, Generaider Boss of Ice"" once per turn."
Red-Eyes Darkness Dragon,Effect Monster,DARK,Dragon,2400,2000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Red-Eyes B. Dragon"" and cannot by Special Summoned by other ways. This card gains 300 ATK for each Dragon-Type monster in your Graveyard."
Sacred Arch-Airknight Parshath,Effect Monster,LIGHT,Fairy,2800,2300,"If you activate a Counter Trap Card, OR if you negate the activation of a Spell/Trap Card, or monster effect (except during the Damage Step): You can banish 2 other Fairy monsters from your hand, field and/or GY; Special Summon this card from the GY (if it was there when you activated/negated) or hand (even if not). If this card attacks a Defense Position monster, inflict piercing battle damage. When this card inflicts battle damage to your opponent: You can add 1 ""Parshath"" card or 1 Counter Trap from your Deck to your hand."
Sorcerer of Dark Magic,Effect Monster,DARK,Spellcaster,3200,2800,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 2 Level 6 or higher Spellcaster-Type monsters. You can negate the activation of any Trap Cards and destroy them.
Steelswarm Longhorn,Effect Monster,DARK,Fiend,3000,0,"Once per turn, if this card was Tribute Summoned by Tributing a ""Steelswarm"" monster(s): You can pay 1000 Life Points to target 1 monster on the field; destroy that target."
Super Anti-Kaiju War Machine Mecha-Thunder-King,Effect Monster,LIGHT,Machine,2200,2100,"During the Main Phase (Quick Effect): You can discard this card; banish 1 ""Kaiju"" monster you control that is owned by your opponent, then you can Special Summon 1 monster from your GY. You can only control 1 ""Kaiju"" monster. This card is unaffected by other ""Kaiju"" cards' effects, also it cannot be destroyed by battle with a ""Kaiju"" monster. During your End Phase, if this card is in your GY: You can Special Summon this card. You can only use this effect of ""Super Anti-Kaiju War Machine Mecha-Thunder-King"" once per Duel."
"Thunder King, the Lightningstrike Kaiju",Effect Monster,LIGHT,Thunder,3300,2100,"You can Special Summon this card (from your hand) to your opponent's side of the field in Attack Position, by Tributing 1 monster they control. If your opponent controls a ""Kaiju"" monster, you can Special Summon this card (from your hand) in Attack Position. You can only control 1 ""Kaiju"" monster. Once per turn: You can remove 3 Kaiju Counters from anywhere on the field; your opponent's cards and effects cannot be activated for the rest of this turn, also this card can make up to 3 attacks on monsters during each Battle Phase this turn."
