Stars,Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
0,Phantasmal Lord Ultimitl Bishbaalkin,Synchro/Effect Monster,DARK,Dragon,0,0,"(This card's original Level is always treated as 12.) ;; Cannot be Synchro Summoned. Must be Special Summoned (from your Extra Deck) by sending 2 Level 8 or higher monsters you control with the same Level to the Graveyard (1 Tuner and 1 non-Tuner), and cannot be Special Summoned by other ways. Cannot be destroyed by card effects. This card gains 1000 ATK for each monster on the field. Once per turn, during either player's Main Phase: You can Special Summon the same number of ""Utchatzimime Tokens"" (Fiend-Type/DARK/Level 1/ATK 0/DEF 0) on each player's field in Defense Position, so as to Summon as many as possible, also this card cannot attack for the rest of this turn."
0,Ultimaya Tzolkin,Synchro/Effect Monster,DARK,Dragon,0,0,"(This card's original Level is always treated as 12.) ;; Cannot be Synchro Summoned. Must be Special Summoned (from your Extra Deck) by sending 2 Level 5 or higher monsters you control with the same Level to the Graveyard (1 Tuner and 1 non-Tuner), and cannot be Special Summoned by other ways. Once per turn, when a Spell/Trap Card(s) is Set on your side of the field (except during the Damage Step): You can Special Summon 1 ""Power Tool"" Synchro Monster or 1 Level 7 or 8 Dragon-Type Synchro Monster from your Extra Deck. Cannot be targeted for attacks or by card effects, while you control another Synchro Monster."
0,Number F0: Utopic Future,Xyz/Effect Monster,LIGHT,Warrior,0,0,"2 Xyz Monsters with the same Rank, except ""Number"" monsters ;; (This card's original Rank is always treated as 1.) ;; Cannot be destroyed by battle, and neither player takes any battle damage from attacks involving this card. At the end of the Damage Step, if this card battled an opponent's monster: You can take control of that opponent's monster until the end of the Battle Phase. If this face-up card on the field would be destroyed by a card effect, you can detach 1 Xyz Material from this card instead."
0,Number S0: Utopic ZEXAL,Xyz/Effect Monster,LIGHT,Warrior,0,0,"3 ""Number"" Xyz Monsters with the same Rank ;; (This card's original Rank is always treated as 1.) You can also Xyz Summon this card by discarding 1 ""Rank-Up-Magic"" Normal Spell Card, then using a ""Utopia"" monster you control as the Xyz Material. (Transfer its Xyz Materials to this card.) This card's Xyz Summon cannot be negated. When Xyz Summoned, your opponent's cards and effects cannot be activated. Gains 1000 ATK and DEF for each Xyz Material attached to it. Once per opponent's turn (Quick Effect): You can detach 1 Xyz Material from this card; your opponent's cards and effects cannot be activated this turn."
1,A/D Changer,Effect Monster,LIGHT,Warrior,100,100,You can remove from play this card in your Graveyard to select 1 monster on the field. Change its battle position.
1,Absolute King Back Jack,Effect Monster,DARK,Fiend,0,0,"During your opponent's turn: You can banish this card from your Graveyard (this is a Quick Effect); excavate the top card of your Deck, and if it is a Normal Trap Card, Set it to your side of the field. Otherwise, send it to the Graveyard. That Set card can be activated during this turn. If this card is sent to the Graveyard: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn."
1,Acorno,Effect Monster,EARTH,Plant,200,400,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand."
1,Alien Psychic,Effect Monster,DARK,Reptile,200,100,This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.
1,Altergeist Meluseek,Effect Monster,WATER,Spellcaster,500,300,"This card can attack directly. When this card inflicts battle damage to your opponent: You can target 1 card your opponent controls; send it to the GY. If this card is sent from the field to the GY: You can add 1 ""Altergeist"" monster from your Deck to your hand, except ""Altergeist Meluseek"". You can only use this effect of ""Altergeist Meluseek"" once per turn."
1,Altergeist Pixiel,Effect Monster,WIND,Spellcaster,100,100,"You can Tribute this card; excavate the top 3 cards of your Deck, add 1 excavated ""Altergeist"" card to your hand, also send the rest to the GY. You can only use this effect of ""Altergeist Pixiel"" once per turn."
1,Amarylease,Effect Monster,EARTH,Plant,100,200,"During your Main Phase: You can banish this card from your Graveyard; you can Normal Summon 1 monster this turn for 1 less Tribute. You can only use the effect of ""Amarylease"" once per turn."
1,Ameba,Effect Monster,WATER,Aqua,300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field."
1,Anesthrokket Dragon,Effect Monster,DARK,Dragon,0,2200,"When a Link Monster's effect is activated that targets this face-up card on the field (Quick Effect): You can destroy this card, then make 1 face-up monster on the field unable to attack, also it has its effects negated. During the End Phase, if this card is in the GY because it was destroyed on the field by battle or card effect and sent there this turn: You can Special Summon 1 ""Rokket"" monster from your Deck, except ""Anesthrokket Dragon"". You can only use each effect of ""Anesthrokket Dragon"" once per turn."
1,Aquaactress Tetra,Effect Monster,WATER,Aqua,300,300,"Once per turn: You can add 1 ""Aquarium"" card from your Deck to your hand."
1,Arcana Force 0 - The Fool,Effect Monster,LIGHT,Fairy,0,0,"This card cannot be destroyed by battle. This card cannot be changed to Defense Position, except with a card effect. When this card is Summoned toss a coin: ;; Heads: Negate the effects of your Spells, Traps, and Effect Monsters' effects that target this card and destroy them. ;; Tails: Negate the effects of your opponent's Spells, Traps and Effect Monsters' effects that target this card, and destroy them."
1,Aroma Jar,Effect Monster,WIND,Rock,500,400,"If this card is flipped face-up, this card cannot be destroyed by battle while it is face-up on the field. If this card is flipped face-up, during each player's End Phase: You gain 500 LP."
1,Aromage Laurel,Effect Monster,WIND,Plant,800,0,"If your LP are higher than your opponent's: You can Special Summon this card from your hand. If you gain LP: Target 1 non-Tuner Plant monster on the field; it is treated as a Tuner this turn. If this card is sent to the GY: You can gain 500 LP. You can only use each effect of ""Aromage Laurel"" once per turn."
1,Atomic Firefly,Effect Monster,LIGHT,Insect,100,200,"When this face-up card on the field attacks or is attacked and it is destroyed as a result of battle, the player who destroyed it takes 1000 points of damage."
1,Batteryman D,Effect Monster,WIND,Thunder,0,1900,"While this card is face-up on your side of the field, your opponent cannot select a Thunder-Type monster on your side of the field as an attack target (except ""Batteryman D"")."
1,Battle Fader,Effect Monster,DARK,Fiend,0,0,"When an opponent's monster declares a direct attack: You can Special Summon this card from your hand, then end the Battle Phase. If this card is Special Summoned with this effect, banish it when it leaves the field."
1,Battlewasp - Dart the Hunter,Effect Monster,WIND,Insect,100,100,"When your ""Battlewasp"" monster destroys a monster by battle that is owned by your opponent: You can discard this card; inflict damage to your opponent equal to that destroyed monster's original ATK. You can target 1 other Insect monster you control; it is treated as a Tuner this turn, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Insect monsters. You can only use each effect of ""Battlewasp - Dart the Hunter"" once per turn."
1,Battlewasp - Pin the Bullseye,Effect Monster,WIND,Insect,200,300,"If you control an Insect monster: You can Special Summon this card from your hand. During your Main Phase: You can inflict 200 damage to your opponent for each ""Battlewasp - Pin the Bullseye"" you control. You can only use each effect of ""Battlewasp - Pin the Bullseye"" once per turn."
1,"Bayonater, the Baneful Barrel",Effect Monster,DARK,Zombie,500,0,Once per turn: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each monster your opponent controls.
1,Beautunaful Princess,Effect Monster,WATER,Fish,0,0,"When this card is Normal or Special Summoned: You can banish this card; Special Summon 1 Level 4 or lower Fish-Type monster from your Deck, except ""Beautunaful Princess"". You can only use this effectof ""Beautunaful Princess"" once per turn."
1,Bee List Soldier,Effect Monster,WIND,Insect,500,400,"You can Tribute this card and 1 face-up Insect-Type monster, except ""Bee List Soldier"", to draw 2 cards."
1,Berry Magician Girl,Effect Monster,EARTH,Spellcaster,400,400,"If this card is Normal Summoned: You can add 1 ""Magician Girl"" monster from your Deck to your hand. Once per turn, during either player's turn, when your opponent activates a card or effect that targets this card, or targets this card for an attack: You can change this card's battle position, and if you do, Special Summon 1 ""Magician Girl"" monster from your Deck, except ""Berry Magician Girl""."
1,Big One Warrior,Effect Monster,LIGHT,Warrior,100,600,"During your Main Phase, you can send 1 Level 1 monster, except this card, from your hand to the Graveyard to Special Summon this card from your hand."
1,Black Metal Dragon,Effect Monster,DARK,Dragon,600,600,"You can target 1 ""Red-Eyes"" monster you control, except ""Red-Eyes B. Chick""; equip this monster from your hand or your side of the field to that target. It gains 600 ATK. If this card is sent from the field to the Graveyard: You can add 1 ""Red-Eyes"" card from your Deck to your hand, except ""Red-Eyes B. Chick""."
1,Black Potan,Effect Monster,DARK,Fiend,200,100,"If you control a face-up Tuner monster, this card cannot be destroyed by battle. When a face-up Tuner monster(s) you control is removed from the field, gain 800 Life Points."
1,Blackwing - Jetstream the Blue Sky,Effect Monster,DARK,Winged Beast,100,800,"Activate by sending this card from your hand to the Graveyard during damage calculation. A ""Blackwing"" monster you control is not destroyed by that battle."
1,"Blizzed, Defender of the Ice Barrier",Effect Monster,WATER,Aqua,300,500,"When this card is destroyed by battle and sent to the Graveyard, draw 1 card."
1,Block Spider,Effect Monster,EARTH,Insect,0,100,"Your opponent cannot target Insect-Type monsters for attacks, except this one. If this card is Special Summoned: You can Special Summon 1 ""Block Spider"" from your Deck. You can only use this effect of ""Block Spider"" once per turn."
1,Blue Duston,Effect Monster,WATER,Fiend,0,1000,"Cannot be used as a Fusion, Synchro, or Xyz Material for a Summon. While this card is face-up on the field, it cannot be Tributed. When this card on the field is destroyed: Banish 1 random card from the controller's hand, face-down, until the next turn's Standby Phase. You can only control 1 face-up ""Blue Duston""."
1,Bonze Alone,Effect Monster,EARTH,Fairy,100,100,Cannot be Normal or Special Summoned if you control a monster. You can Special Summon this card (from your hand) in Attack Position. If another monster(s) is Summoned to your field while you control this monster: Destroy this card.
1,Boost Warrior,Effect Monster,FIRE,Warrior,300,200,"If you control a face-up Tuner monster, you can Special Summon this card from your hand in face-up Defense Position. All Warrior-Type monsters you control gain 300 ATK."
1,Box of Friends,Effect Monster,LIGHT,Machine,0,0,"If this card is destroyed and sent to the Graveyard: You can Special Summon from your Deck, 2 Normal Monsters with different names whose ATK or DEF is 0, in face-up Defense Position. You can only use this effect of ""Box of Friends"" once per turn. Monsters Special Summoned by this effect cannot be used as Synchro Material Monsters, and they are destroyed during your next End Phase."
1,Caravan of the Ice Barrier,Effect Monster,WATER,Sea Serpent,500,200,"Once per turn, you can return 2 ""Ice Barrier"" monsters in your Graveyard to the Deck to have both players draw 1 card."
1,Cat's Ear Tribe,Effect Monster,EARTH,Beast-Warrior,200,100,The original ATK of your opponent's monster(s) that battles with this card during his/her turn becomes 200 points during the Damage Step.
1,"Ceruli, Guru of Dark World",Effect Monster,DARK,Fiend,100,300,"If this card is discarded to the Graveyard by a card effect: Special Summon this card from the Graveyard to your opponent's side of the field in face-up Defense Position. When this card is Special Summoned by the effect of a ""Dark World"" card: Your opponent must discard 1 card."
1,Chaos Necromancer,Effect Monster,DARK,Fiend,0,0,The ATK of this card becomes the number of Monster Cards in your Graveyard x 300 points.
1,Charm of Shabti,Effect Monster,EARTH,Rock,100,100,"Discard this card from your hand. Until the End Phase, make the Battle Damage to monsters that include ""Gravekeeper's"" in their card name 0."
1,Chobham Armor Dragon,Effect Monster,DARK,Dragon,0,0,"When an opponent's monster declares a direct attack: You can Special Summon this card from your hand in Attack Position, and if you do, for the rest of this turn, it cannot be destroyed by battle and the battle damage you take from battles involving this card is halved. If this card is sent to the GY as Link Material: You can target 1 other DARK monster in your GY; add it to your hand, also your opponent can add 1 monster from their GY to their hand. You can only use this effect of ""Chobham Armor Dragon"" once per turn."
1,Cipher Etranger,Effect Monster,LIGHT,Spellcaster,0,0,"While this card is in your hand or Graveyard: You can target 1 ""Cipher"" Xyz Monster you control; attach this card to it as Xyz Material. If this card is sent to the Graveyard: You can add 1 ""Cipher"" Spell/Trap Card from your Deck to your hand. You can only use 1 ""Cipher Etranger"" effect per turn, and only once that turn."
1,Clear Kuriboh,Effect Monster,LIGHT,Fairy,300,200,"During either player's turn, when your opponent activates a monster effect that would inflict damage: You can discard this card; negate the activation. When an opponent's monster declares a direct attack: You can banish this card from your Graveyard; draw 1 card, if it is a monster, you can Special Summon it, then change the attack target to it. You can only use this effect of ""Clear Kuriboh"" once per turn."
1,Cloudian - Ghost Fog,Effect Monster,WATER,Fiend,0,0,"This card cannot be Special Summoned. All Battle Damage to either player from a battle involving this monster becomes 0. If this card is destroyed by battle, distribute new Fog Counters equal to the Level of the monster that destroyed it among face-up monsters."
1,Cloudian - Sheep Cloud,Effect Monster,WATER,Fairy,0,0,"When this card is destroyed by battle and sent to the Graveyard, Special Summon 2 ""Cloudian Tokens"" (Fairy-Type/WATER/Level 1/ATK 0/DEF 0) in Defense Position. These tokens cannot be Tributed for a Tribute Summon, unless it is for a ""Cloudian"" monster."
1,Consecrated Light,Effect Monster,LIGHT,Fairy,0,0,"Neither player can Normal or Special Summon DARK monsters or declare an attack with a DARK monster. This card cannot be destroyed by battle with a DARK monster, and you take no Battle Damage from that battle."
1,Constellar Siat,Effect Monster,LIGHT,Fairy,100,1600,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand). Once per turn: You can target 1 ""Constellar"" monster you control or in your Graveyard; this card's Level becomes the current Level of that monster. This card cannot be used as an Xyz Material, except for the Xyz Summon of a ""Constellar"" monster."
1,Copycat,Effect Monster,LIGHT,Spellcaster,0,0,When this card is Summoned: Target 1 face-up monster your opponent controls; this card's ATK and DEF become equal to that monster's original ATK and DEF.
1,Cosmic Compass,Effect Monster,EARTH,Machine,100,300,"When this card is Normal Summoned, you can Special Summon a number of ""Compass Tokens"" (Machine-Type/EARTH/Level 1/ATK 0/DEF 0) up to the number of monsters your opponent controls."
1,Cupid Volley,Effect Monster,LIGHT,Fairy,600,600,"You can choose a number from 1 to 3, then send that many cards from the top of your Deck to the GY; increase this card's Level by the number of cards sent to the GY this way, until the end of this turn. If this card you control is destroyed by an opponent's card and sent to your GY: You gain 1500 LP. You can only use each effect of ""Cupid Volley"" once per turn."
1,Cursed Fig,Effect Monster,WATER,Plant,200,200,"When this card is destroyed by battle and sent to the Graveyard, select 2 Set Spell or Trap Cards on the field. While this card is in the Graveyard, the selected cards cannot be activated."
1,Cyber Dragon Herz,Effect Monster,LIGHT,Machine,100,100,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can only use 1 of the following effects of ""Cyber Dragon Herz"" per turn, and only once that turn. ;; If this card is Special Summoned: You can make this card's Level become 5 until the end of this turn, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. ;; If this card is sent to the GY: You can add 1 other ""Cyber Dragon"" from your Deck or GY to your hand."
