attrib1,attrib2,class
0.34,0.023076923076923078,4
0.32,0.03076923076923077,3
0.1,0.057692307692307696,3
0.24,0.1,8
0.36,0.007692307692307693,4
0.0,0.019230769230769232,1
0.2,0.038461538461538464,4
0.16,0.03076923076923077,4
0.58,0.06538461538461539,8
0.06,0.007692307692307693,1
0.34,0.026923076923076925,4
0.34,0.04230769230769231,4
0.1,0.019230769230769232,3
0.44,0.07692307692307693,6
0.1,0.09615384615384616,5
0.36,0.057692307692307696,4
0.24,0.06923076923076923,4
0.2,0.06923076923076923,5
0.16,0.03076923076923077,3
0.24,0.07692307692307693,5
0.08,0.06923076923076923,3
0.24,0.11538461538461539,6
0.04,0.007692307692307693,1
0.0,0.0,4
0.52,0.06923076923076923,7
0.5,0.1,8
0.38,0.046153846153846156,5
0.4,0.038461538461538464,5
0.16,0.03076923076923077,3
0.06,0.023076923076923078,4
0.02,0.0038461538461538464,1
0.0,0.1,6
0.4,0.07692307692307693,3
0.24,0.06923076923076923,5
0.2,0.07692307692307693,4
0.4,0.038461538461538464,5
0.44,0.08076923076923077,6
0.24,0.03076923076923077,4
0.32,0.046153846153846156,4
0.32,0.038461538461538464,4
0.24,0.06153846153846154,4
0.3,0.0,3
0.3,0.046153846153846156,3
0.06,0.046153846153846156,2
0.6,0.09615384615384616,7
0.48,0.09615384615384616,7
0.12,0.06923076923076923,4
0.32,0.019230769230769232,3
0.32,0.046153846153846156,4
0.34,0.0038461538461538464,3
0.06,0.03076923076923077,2
0.56,0.0,8
0.4,0.0,5
0.34,0.04230769230769231,4
0.37,0.0,4
0.36,0.038461538461538464,4
0.6,0.09615384615384616,8
0.5,0.06538461538461539,7
0.24,0.08461538461538462,5
0.33,0.06153846153846154,4
0.6,0.057692307692307696,8
0.0,0.0,6
0.12,0.007692307692307693,3
0.34,0.046153846153846156,4
0.16,0.06923076923076923,3
0.38,0.05384615384615385,4
0.42,0.04230769230769231,4
0.16,0.0,1
0.0,0.0,1
0.64,0.08076923076923077,10
0.02,0.07692307692307693,1
0.54,0.09615384615384616,7
0.0,0.0,1
0.38,0.0,4
0.0,0.08461538461538462,3
0.24,0.06923076923076923,4
0.34,0.0,4
0.46,0.07692307692307693,7
0.14,0.019230769230769232,2
0.56,0.09615384615384616,7
0.06,0.023076923076923078,3
0.4,0.0,4
0.3,0.06153846153846154,4
0.52,0.07692307692307693,7
0.12,0.07692307692307693,4
0.18,0.026923076923076925,3
0.34,0.038461538461538464,4
0.0,0.0,6
0.06,0.011538461538461539,2
0.36,0.023076923076923078,4
0.0,0.0,8
0.1,0.057692307692307696,2
0.6,0.09615384615384616,8
0.56,0.038461538461538464,8
0.32,0.038461538461538464,3
0.02,0.07692307692307693,2
0.0,0.019230769230769232,2
0.24,0.1076923076923077,7
0.3,0.057692307692307696,4
0.0,0.0,1
0.36,0.0,4
0.34,0.038461538461538464,4
0.32,0.046153846153846156,4
0.32,0.03076923076923077,3
0.28,0.06153846153846154,3
0.16,0.015384615384615385,2
0.06,0.011538461538461539,1
0.5,0.06538461538461539,7
0.02,0.0038461538461538464,1
0.28,0.03076923076923077,4
0.58,0.05,8
0.34,0.038461538461538464,4
0.3,0.011538461538461539,3
0.0,0.057692307692307696,6
0.2,0.08461538461538462,5
0.24,0.03076923076923077,3
0.37,0.026923076923076925,4
0.44,0.1076923076923077,8
0.22,0.06153846153846154,4
0.54,0.07692307692307693,9
0.48,0.0,6
0.08,0.007692307692307693,1
0.2,0.06923076923076923,3
0.0,0.07307692307692308,3
0.38,0.05384615384615385,5
0.42,0.03461538461538462,5
0.56,0.1,8
0.02,0.07692307692307693,1
0.56,0.1076923076923077,8
0.48,0.08076923076923077,7
0.52,0.06923076923076923,7
0.52,0.0,3
0.28,0.06153846153846154,4
0.0,0.11538461538461539,5
0.4,0.046153846153846156,5
0.22,0.038461538461538464,4
0.32,0.046153846153846156,3
0.44,0.038461538461538464,6
0.6,0.11538461538461539,10
0.34,0.03076923076923077,4
0.58,0.06538461538461539,8
0.44,0.1,7
0.34,0.046153846153846156,4
0.48,0.07692307692307693,6
0.34,0.038461538461538464,4
0.34,0.04230769230769231,4
0.48,0.04230769230769231,6
0.16,0.046153846153846156,2
0.0,0.0,1
0.32,0.07307692307692308,5
0.5,0.07692307692307693,8
0.0,0.11538461538461539,8
0.34,0.0,3
0.22,0.007692307692307693,2
0.48,0.06153846153846154,6
0.28,0.04230769230769231,3
0.24,0.038461538461538464,3
0.16,0.03076923076923077,2
0.46,0.06538461538461539,5
0.42,0.06923076923076923,6
0.26,0.05384615384615385,4
0.32,0.1076923076923077,3
0.28,0.06153846153846154,3
0.38,0.046153846153846156,5
0.34,0.04230769230769231,3
0.24,0.06923076923076923,4
0.24,0.023076923076923078,4
0.4,0.09230769230769231,6
1.0,0.0,10
0.3,0.04230769230769231,4
0.4,0.038461538461538464,5
0.34,0.09230769230769231,8
0.56,0.05384615384615385,7
0.56,0.0038461538461538464,8
0.2,0.038461538461538464,3
0.02,0.0038461538461538464,3
0.5,0.07692307692307693,8
